Year,Rainfall(mm),TFP
1977,469.86,100
1978,517.39,117
1979,451.81,117
1980,429.75,99
1981,527.34,115
1982,415.14,97
1983,492.99,132
1984,546.45,128
1985,397.53,129
1986,385.94,129
1987,450.08,126
1988,454.26,129
1989,480.3,139
1990,413.17,142
1991,460.81,134
1992,447.91,148
1993,487.96,157
1994,338.68,126
1995,518.15,157
1996,462.26,167
1997,514.17,156
1998,548.86,165
1999,578.77,173
2000,710.57,162
2001,542.8,167
2002,332.54,117
2003,469.91,158
2004,491.58,152
2005,394.3,167
2006,482.06,133
2007,495.65,144
2008,471.42,164
2009,452.69,162
2010,683.7,174
2011,696.7,185
2012,471.84,174
2013,422.61,177
2014,473.38,164
2015,436.74,167
2016,532.09,190
2017,494.44,167
2018,405.85,146
2019,275.71,132
2020,486.75,